"Actual_Distance","Calculated_Distance"
"0.5m",1.1220
"0.5m",0.8913
"0.5m",1.0000
"0.5m",1.5849
"0.5m",1.2589
"0.5m",1.2589
"0.5m",0.8913
"0.5m",0.8913
"0.5m",1.1220
"0.5m",1.0593
"0.5m",1.1220
"0.5m",0.8913
"0.5m",0.9441
"0.5m",1.3335
"0.5m",1.2589
"0.5m",0.8414
"0.5m",0.7499
"0.5m",0.8913
"0.5m",1.0593
"0.5m",1.0000
"1.0m",1.3335
"1.0m",1.1220
"1.0m",1.0593
"1.0m",1.5849
"1.0m",1.7783
"1.0m",1.5849
"1.0m",1.4125
"1.0m",1.1220
"1.0m",1.1885
"1.0m",1.4962
"1.0m",1.6788
"1.0m",1.0000
"1.0m",1.0593
"1.0m",1.5849
"1.0m",1.4962
"1.0m",1.2589
"1.0m",1.1220
"1.0m",1.0593
"1.0m",1.3335
"1.0m",1.4125
"1.5m",1.7783
"1.5m",1.3335
"1.5m",1.0593
"1.5m",1.4962
"1.5m",1.7783
"1.5m",1.4125
"1.5m",1.4962
"1.5m",1.0000
"1.5m",1.4125
"1.5m",1.7783
"1.5m",2.3714
"1.5m",1.0000
"1.5m",1.5849
"1.5m",1.7783
"1.5m",1.9953
"1.5m",2.2387
"1.5m",1.0000
"1.5m",1.0000
"1.5m",1.3335
"1.5m",1.4125
"2.0m",2.8184
"2.0m",2.2387
"2.0m",3.1623
"2.0m",1.4125
"2.0m",1.2589
"2.0m",1.6788
"2.0m",1.8836
"2.0m",2.1135
"2.0m",1.4962
"2.0m",1.4962
"2.0m",1.7783
"2.0m",1.8836
"2.0m",1.9953
"2.0m",3.3497
"2.0m",2.2387
"2.0m",1.4962
"2.0m",3.1623
"2.0m",2.8184
"2.0m",2.2387
"2.0m",1.4962
"2.5m",1.4125
"2.5m",1.9953
"2.5m",2.1135
"2.5m",1.8836
"2.5m",1.3335
"2.5m",1.5849
"2.5m",1.4962
"2.5m",1.8836
"2.5m",1.3335
"2.5m",1.4962
"2.5m",1.5849
"2.5m",2.2387
"2.5m",1.4125
"2.5m",1.3335
"2.5m",1.5849
"2.5m",2.5119
"2.5m",1.4125
"2.5m",1.4962
"2.5m",1.6788
"2.5m",2.1135
"3.0m",2.2387
"3.0m",1.3335
"3.0m",1.1885
"3.0m",1.1220
"3.0m",2.1135
"3.0m",1.4125
"3.0m",1.4962
"3.0m",1.4962
"3.0m",1.4125
"3.0m",1.4125
"3.0m",1.5849
"3.0m",2.1135
"3.0m",1.5849
"3.0m",1.7783
"3.0m",1.5849
"3.0m",1.7783
"3.0m",1.5849
"3.0m",1.4125
"3.0m",1.8836
"3.0m",1.6788
"3.5m",2.2387
"3.5m",1.9953
"3.5m",1.7783
"3.5m",1.9953
"3.5m",1.8836
"3.5m",3.5481
"3.5m",5.3088
"3.5m",1.4125
"3.5m",1.5849
"3.5m",1.7783
"3.5m",7.0795
"3.5m",1.6788
"3.5m",1.9953
"3.5m",1.8836
"3.5m",4.2170
"3.5m",1.6788
"3.5m",1.7783
"3.5m",1.8836
"3.5m",1.7783
"3.5m",7.4989
"4.0m",3.7584
"4.0m",2.2387
"4.0m",2.5119
"4.0m",2.8184
"4.0m",3.1623
"4.0m",4.2170
"4.0m",2.3714
"4.0m",2.6607
"4.0m",3.1623
"4.0m",2.8184
"4.0m",2.6607
"4.0m",3.7584
"4.0m",4.7315
"4.0m",2.1135
"4.0m",1.9953
"4.0m",1.6788
"4.0m",1.7783
"4.0m",2.8184
"4.0m",1.8836
"4.0m",1.9953
"4.5m",8.9125
"4.5m",2.6607
"4.5m",3.1623
"4.5m",2.5119
"4.5m",2.2387
"4.5m",1.5849
"4.5m",4.4668
"4.5m",1.9953
"4.5m",1.4125
"4.5m",1.7783
"4.5m",4.2170
"4.5m",2.2387
"4.5m",1.4962
"4.5m",1.6788
"4.5m",3.3497
"4.5m",2.2387
"4.5m",2.1135
"4.5m",1.5849
"4.5m",2.3714
"4.5m",2.5119
"5.0m",2.8184
"5.0m",2.6607
"5.0m",1.7783
"5.0m",1.9953
"5.0m",1.8836
"5.0m",1.9953
"5.0m",2.2387
"5.0m",2.2387
"5.0m",1.9953
"5.0m",1.7783
"5.0m",2.5119
"5.0m",1.7783
"5.0m",2.1135
"5.0m",1.9953
"5.0m",2.2387
"5.0m",2.5119
"5.0m",2.2387
"5.0m",2.5119
"5.0m",1.9953
"5.0m",2.2387
"5.5m",2.2387
"5.5m",2.3714
"5.5m",5.0119
"5.5m",4.7315
"5.5m",4.4668
"5.5m",2.5119
"5.5m",2.8184
"5.5m",2.2387
"5.5m",3.5481
"5.5m",3.9811
"5.5m",2.3714
"5.5m",4.4668
"5.5m",5.0119
"5.5m",2.3714
"5.5m",2.2387
"5.5m",2.5119
"5.5m",2.3714
"5.5m",2.2387
"5.5m",4.7315
"5.5m",3.9811
"6.0m",6.6834
"6.0m",2.5119
"6.0m",3.1623
"6.0m",2.8184
"6.0m",3.5481
"6.0m",4.2170
"6.0m",4.4668
"6.0m",4.7315
"6.0m",2.5119
"6.0m",2.6607
"6.0m",4.7315
"6.0m",3.5481
"6.0m",3.3497
"6.0m",3.5481
"6.0m",2.8184
"6.0m",2.5119
"6.0m",5.9566
"6.0m",5.6234
"6.0m",3.7584
"6.0m",4.7315
"6.5m",2.8184
"6.5m",3.1623
"6.5m",4.4668
"6.5m",5.3088
"6.5m",2.5119
"6.5m",2.9854
"6.5m",3.1623
"6.5m",5.6234
"6.5m",5.3088
"6.5m",2.2387
"6.5m",3.1623
"6.5m",2.9854
"6.5m",3.1623
"6.5m",5.0119
"6.5m",5.3088
"6.5m",2.8184
"6.5m",2.6607
"6.5m",2.8184
"6.5m",3.1623
"6.5m",3.3497
"7.0m",2.9854
"7.0m",1.9953
"7.0m",2.9854
"7.0m",2.8184
"7.0m",2.9854
"7.0m",3.1623
"7.0m",1.8836
"7.0m",1.9953
"7.0m",2.1135
"7.0m",2.6607
"7.0m",2.3714
"7.0m",2.8184
"7.0m",2.9854
"7.0m",2.2387
"7.0m",1.9953
"7.0m",2.1135
"7.0m",2.5119
"7.0m",2.6607
"7.0m",2.9854
"7.0m",3.5481
"7.5m",4.2170
"7.5m",5.0119
"7.5m",3.1623
"7.5m",2.9854
"7.5m",6.3096
"7.5m",7.0795
"7.5m",3.3497
"7.5m",4.2170
"7.5m",4.7315
"7.5m",5.6234
"7.5m",3.7584
"7.5m",4.4668
"7.5m",4.7315
"7.5m",8.9125
"7.5m",3.9811
"7.5m",4.2170
"7.5m",5.6234
"7.5m",6.6834
"7.5m",4.7315
"7.5m",4.4668
"8.0m",2.2387
"8.0m",1.8836
"8.0m",1.7783
"8.0m",2.3714
"8.0m",2.2387
"8.0m",2.5119
"8.0m",2.6607
"8.0m",1.7783
"8.0m",1.8836
"8.0m",2.1135
"8.0m",2.2387
"8.0m",2.9854
"8.0m",2.8184
"8.0m",2.6607
"8.0m",2.8184
"8.0m",2.1135
"8.0m",2.9854
"8.0m",3.1623
"8.0m",2.2387
"8.0m",2.9854
"8.5m",2.8184
"8.5m",2.9854
"8.5m",3.3497
"8.5m",3.5481
"8.5m",2.5119
"8.5m",2.6607
"8.5m",4.4668
"8.5m",5.0119
"8.5m",4.7315
"8.5m",4.2170
"8.5m",2.8184
"8.5m",3.9811
"8.5m",5.9566
"8.5m",4.2170
"8.5m",3.9811
"8.5m",3.1623
"8.5m",3.3497
"8.5m",3.5481
"8.5m",3.1623
"8.5m",2.9854
"9.0m",3.5481
"9.0m",3.7584
"9.0m",2.2387
"9.0m",2.1135
"9.0m",3.5481
"9.0m",3.5481
"9.0m",2.3714
"9.0m",2.5119
"9.0m",2.2387
"9.0m",2.3714
"9.0m",3.7584
"9.0m",3.5481
"9.0m",3.3497
"9.0m",2.3714
"9.0m",2.8184
"9.0m",2.9854
"9.0m",3.5481
"9.0m",3.5481
"9.0m",2.6607
"9.0m",2.5119
"9.5m",3.3497
"9.5m",5.0119
"9.5m",4.2170
"9.5m",3.9811
"9.5m",4.4668
"9.5m",3.3497
"9.5m",3.5481
"9.5m",4.2170
"9.5m",4.4668
"9.5m",5.3088
"9.5m",5.0119
"9.5m",5.6234
"9.5m",4.4668
"9.5m",6.6834
"9.5m",5.9566
"9.5m",4.2170
"9.5m",4.7315
"9.5m",3.7584
"9.5m",3.5481
"9.5m",3.9811
